real_estate_type,district,governorate,area_m2,bedrooms_number,bathrooms_number,price,general_district,apartment_configuration,bathroom_bedroom_ratio,price_per_sq_m_2
Apartment,The Butterfly - Mostakbal City,Cairo,59.0,1,1,4600000.0,Mostakbal City,1 - 1,1.0,77966.1
Apartment,5th Settlement - New Cairo,Cairo,110.0,2,2,12100000.0,5th settlement,2 - 2,1.0,110000.0
Apartment,Amorada Compound - 5th Settlement - New Cairo,Cairo,186.0,3,2,11000000.0,5th settlement,3 - 2,0.67,59139.78
Apartment,Mivida Compound - 5th Settlement - New Cairo,Cairo,112.0,2,2,16000000.0,5th settlement,2 - 2,1.0,142857.14
Apartment,Rehab City Compound - New Cairo,Cairo,139.0,3,3,7700000.0,Rehab City,3 - 3,1.0,55395.68
Apartment,City Oval - New Capital City,Cairo,93.0,2,1,2212000.0,New Capital City,2 - 1,0.5,23784.95
Apartment,Heliopolis,Cairo,160.0,3,2,6200000.0,Heliopolis,3 - 2,0.67,38750.0
Apartment,Heliopolis,Cairo,100.0,2,2,4900000.0,Heliopolis,2 - 2,1.0,49000.0
Apartment,5th Settlement - New Cairo,Cairo,155.0,3,3,2800000.0,5th settlement,3 - 3,1.0,18064.52
Apartment,The Address East Compound - 5th Settlement - New Cairo,Cairo,140.0,3,2,5870000.0,5th settlement,3 - 2,0.67,41928.57
Apartment,Rehab City Compound - New Cairo,Cairo,168.0,3,3,7600000.0,Rehab City,3 - 3,1.0,45238.1
